the,AT
and,CC
to,TO
of,IN
a,AT
in,IN
we,PPSS
i,PPSS
for,IN
is,BEZ
our,PP$
to,IN
that,CS
this,DT
have,HV
are,BER
will,MD
you,PPSS
on,IN
that,WPS
but,CC
be,BE
with,IN
they,PPSS
it,PPS
who,WPS
people,NNS
all,ABN
their,PP$
as,CS
you,PPO
can,MD
what,WDT
that,DT
it,PPO
do,DO
or,CC
america,NP
when,WRB
by,IN
that's,DT
if,CS
from,IN
your,PP$
my,PP$
was,BEDZ
make,VB
at,IN
president,NN
he,PPS
has,HVZ
country,NN
now,RB
going,VBG
us,PPO
because,CS
more,AP
it's,PPS
just,RB
american,JJ
new,JJ
an,AT
years,NNS
about,IN
want,VB
here,RB
jobs,NNS
up,RP
know,VB
them,PPO
time,NN
me,PPO
need,VB
tax,NN
every,AT
we're,PPSS
been,BEN
get,VB
one,CD
than,CS
i'm,PPSS
those,DTS
out,RP
don't,DO
americans,NPS
economy,NN
some,DTI
we've,PPSS
got,VBD
health,NN
these,DTS
world,NN
care,NN
so,CS
would,MD
should,MD
back,RB
there,EX
his,PP$
government,NN
were,BED
plan,NN
states,NNS
had,HVD
no,AT
good,JJ
believe,VB
go,VB
way,NN
where,WRB
also,RB
said,VBD
work,VB
help,VB
like,CS
give,VB
many,AP
why,WRB
must,MD
united,VBN
families,NNS
last,AP
great,JJ
year,NN
say,VB
today,NR
other,AP
take,VB
more,QL
together,RB
how,WRB
money,NN
so,QL
think,VB
into,IN
can't,MD
down,RP
keep,VB
thank,VB
same,AP
so,RB
nation,NN
over,IN
children,NNS
energy,NN
education,NN
taxes,NNS
let,VB
future,NN
work,NN
own,JJ
war,NN
pay,VB
i've,PPSS
washington,NP
first,OD
see,VB
job,NN
security,NN
which,WDT
applause,NN
economic,JJ
senator,NN
come,VB
million,CD
still,RB
you're,PPSS
companies,NNS
then,RB
workers,NNS
more,RBR
even,RB
working,VBG
never,RB
could,MD
000,CD
four,CD
day,NN
election,NN
change,NN
any,DTI
",RN
middle,JJ
create,VB
businesses,NNS
next,AP
insurance,NN
we'll,PPSS
as,QL
lot,NN
very,QL
two,CD
again,RB
about,RB
right,QL
sure,JJ
things,NNS
making,VBG
college,NN
small,JJ
congress,NP
did,DOD
well,RB
too,QL
only,RB
home,NR
system,NN
its,PP$
class,NN
tell,VB
family,NN
life,NN
they're,PPSS
am,BEM
most,QL
oil,NN
thing,NN
folks,NNS
iraq,NP
campaign,NN
another,DT
best,JJT
young,JJ
across,IN
done,VBN
crisis,NN
state,NN
everybody,PN
laughter,NP
percent,NN
business,NN
able,JJ
schools,NNS
through,IN
women,NNS
there,RB
she,PPS
opportunity,NN
won't,MD
choice,NN
right,JJ
i'll,PPSS
after,IN
against,IN
ago,RB
look,VB
didn't,DOD
always,RB
members,NNS
something,PN
street,NN
being,BEG
put,VB
national,JJ
afford,VB
ask,VB
part,NN
long,JJ
school,NN
him,PPO
doing,VBG
big,JJ
place,NN
better,JJR
one,PN
history,NN
governor,NN
without,IN
important,JJ
running,VBG
stand,VB
bring,VB
he's,PPS
change,VB
community,NN
made,VBD
may,MD
cannot,MD
few,AP
child,NN
ever,RB
mccain,NP
audience,NN
policies,NNS
kind,NN
federal,JJ
there's,EX
real,JJ
power,NN
better,RBR
different,JJ
century,NN
cut,VB
freedom,NN
billion,CD
build,VB
under,IN
kids,NNS
off,RP
her,PP$
doesn't,DOZ
each,DT
dollars,NNS
chance,NN
seen,VBN
while,CS
let's,VB
deficit,NN
forward,RB
much,AP
millions,NNS
days,NNS
free,JJ
means,VBZ
hard,JJ
times,NNS
teachers,NNS
bush,NP
lives,NNS
invest,VB
budget,NN
most,AP
obama,NP
how,WQL
single,AP
find,VB
responsibility,NN
provide,VB
america's,NP$
men,NNS
meet,VB
values,NNS
around,IN
reform,NN
4,CD
you've,PPSS
’,BEM
bill,NN
2,CD
came,VBD
strong,JJ
military,JJ
away,RB
whether,CS
office,NN
win,VB
between,IN
both,ABX
parents,NNS
law,NN
on,RP
matter,NN
john,NP
cost,NN
understand,VB
does,DOZ
administration,NN
god,NP
politics,NN
over,RP
talk,VB
man,NN
wall,NN
instead,RB
less,AP
high,JJ
getting,VBG
laughter,NN
end,VB
spend,VB
clinton,NP
policy,NN
before,CS
made,VBN
grow,VB
fighting,VBG
house,NN
says,VBZ
idea,NN
costs,NNS
program,NN
leadership,NN
continue,VB
proud,JJ
nothing,PN
public,JJ
well,UH
cut,VBN
finally,RB
nuclear,JJ
already,RB
live,VB
’,NIL
credit,NN
sure,RB
trade,NN
promise,NN
financial,JJ
what's,WDT
programs,NNS
problem,NN
reason,NN
stop,VB
party,NN
three,CD
gas,NN
fight,VB
save,VB
peace,NN
medicare,NN
problems,NNS
choose,VB
clear,JJ
start,VB
debt,NN
coming,VBG
months,NNS
moment,NN
willing,JJ
spending,VBG
comes,VBZ
friends,NNS
second,OD
love,VB
giving,VBG
growth,NN
lead,VB
fact,NN
generation,NN
actually,RB
old,JJ
raise,VB
talking,VBG
end,NN
political,JJ
common,JJ
only,AP
use,VB
service,NN
students,NNS
support,NN
half,ABN
higher,JJR
tonight,NR
happen,VB
citizens,NNS
technology,NN
bless,VB
face,VB
once,RB
like,VB
market,NN
progress,NN
yes,RB
vote,NN
move,VB
no,RB
prosperity,NN
issue,NN
leaders,NNS
foreign,JJ
fair,JJ
industry,NN
republicans,NPS
trillion,CD
try,VB
tough,JJ
wants,VBZ
hard,RB
nations,NNS
rate,NN
wrong,JJ
social,JJ
maybe,RB
support,VB
1,CD
troops,NNS
turn,VB
remember,VB
5,CD
democrats,NPS
protect,VB
3,CD
they've,PPSS
week,NN
afghanistan,NP
after,CS
pass,VB
dream,NN
course,NN
opponent,NN
decade,NN
enough,QLP
nearly,RB
much,RB
before,IN
everything,PN
took,VBD
income,NN
greatest,JJT
interests,NNS
sense,NN
hope,NN
makes,VBZ
relief,NN
welfare,NN
help,NN
veterans,NNS
commitment,NN
reduce,VB
term,NN
white,JJ
trying,VBG
send,VB
basic,JJ
10,CD
number,NN
challenges,NNS
—,RBR
weapons,NNS
cars,NNS
difference,NN
went,VBD
cuts,NNS
because,RB
senate,NN
might,MD
yet,RB
little,JJ
george,NP
themselves,PPLS
21st,OD
isn't,BEZ
ohio,NP
words,NNS
countries,NNS
global,JJ
side,NN
bill,NP
serve,VB
for,CS
ought,MD
ideas,NNS
rules,NNS
since,CS
true,JJ
record,NN
special,JJ
ahead,RB
homes,NNS
crime,NN
ways,NNS
often,RB
overseas,RB
cuts,VBZ
communities,NNS
interest,NN
home,NN
private,JJ
rising,VBG
s,NIL
put,VBD
hear,VB
really,RB
standards,NNS
asking,VBG
i'd,PPSS
else,RB
success,NN
fight,NN
benefits,NNS
moving,VBG
mean,VB
somebody,PN
ourselves,PPLS
call,VB
decades,NNS
taking,VBG
first,RB
eight,CD
serious,JJ
clean,JJ
saw,VBD
hope,VB
bad,JJ
told,VBD
buy,VB
too,RB
during,IN
person,NN
democracy,NN
rights,NNS
terrorists,NNS
vision,NN
since,IN
opportunities,NNS
having,HVG
growing,VBG
company,NN
thousands,NNS
investments,NNS
needs,VBZ
seniors,NNS
others,NNS
lost,VBN
saying,VBG
manufacturing,VBG
paying,VBG
breaks,VBZ
fellow,NN
line,NN
possible,JJ
vote,VB
earth,NN
entire,JJ
local,JJ
strength,NN
investment,NN
democratic,JJ
night,NN
struggling,VBG
started,VBD
truth,NN
even,QL
compete,VB
rates,NNS
stronger,JJR
before,RB
china,NP
become,VB
helping,VBG
run,VB
month,NN
lower,JJR
harder,RBR
looking,VBG
come,VBN
path,NN
skills,NNS
stay,VB
example,NN
research,NN
leave,VB
story,NN
markets,NNS
decisions,NNS
weeks,NNS
until,CS
worked,VBD
medical,JJ
aren't,BER
behind,IN
it's,NP$
solve,VB
responsible,JJ
including,IN
in,RP
restore,VB
gave,VBD
care,VB
direction,NN
strategy,NN
called,VBD
who's,WPS
sick,JJ
wind,NN
spending,NN
greater,JJR
goal,NN
bills,NNS
cause,NN
defense,NN
knew,VBD
debate,NN
auto,NN
sometimes,RB
coverage,NN
israel,NP
five,CD
2008,CD
investing,VBG
question,NN
act,NN
passed,VBD
purpose,NN
given,VBN
force,NN
little,AP
savings,NNS
deserve,VB
lose,VB
effort,NN
building,VBG
act,VB
middle-class,NN
respect,NN
heard,VBD
dreams,NNS
anything,PN
easy,JJ
100,CD
lost,VBD
got,VBN
heart,NN
science,NN
romney,NN
iowa,NP
full,JJ
no,QL
tried,VBD
takes,VBZ
everyone,PN
you'll,PPSS
point,NN
tomorrow,NR
threat,NN
confidence,NN
city,NN
strengthen,VB
forces,NNS
wages,NNS
faith,NN
succeed,VB
right,RB
wasn't,BEDZ
increase,VB
–,RBR
whole,JJ
issues,NNS
drugs,NNS
begin,VB
far,RB
doors,NNS
stake,NN
right,NN
simple,JJ
expand,VB
capital,NN
generations,NNS
choices,NNS
offer,VB
top,NN
banks,NNS
met,VBD
her,PPO
challenge,NN
honor,NN
loans,NNS
gets,VBZ
50,CD
violence,NN
lobbyists,NNS
though,CS
hire,VB
longer,RBR
allies,NNS
plans,NNS
drug,NN
prices,NNS
among,IN
society,NN
price,NN
especially,RB
feel,VB
taken,VBN
spirit,NN
justice,NN
poor,JJ
fundamental,JJ
colleges,NNS
november,NP
alone,RB
friend,NN
elected,VBN
hold,VB
race,NN
gone,VBN
almost,RB
neighbors,NNS
regulations,NNS
helped,VBD
rebuild,VB
ones,NNS
living,VBG
that's,WPS
main,JJS
ensure,VB
whose,WP$
past,AP
learned,VBD
throughout,IN
personal,JJ
forget,VB
member,NN
action,NN
sources,NNS
wealthiest,JJT
training,NN
innovation,NN
access,NN
anybody,PN
improve,VB
much,QL
past,NN
defend,VB
worst,JJT
unemployment,NN
creating,VBG
terror,NN
appreciate,VB
here's,RB
share,VB
courage,NN
simply,RB
union,NN
laws,NNS
services,NNS
mr,NN
set,VB
than,IN
putting,VBG
couldn't,MD
dignity,NN
florida,NP
news,NN
cities,NNS
thought,VBD
necessary,JJ
housing,NN
candidate,NN
shouldn't,MD
learn,VB
solar,JJ
corporate,JJ
allow,VB
world's,NN$
created,VBN
sector,NN
join,VB
places,NNS
code,NN
thanks,NNS
math,NN
raising,VBG
biggest,JJT
parties,NNS
haven't,HV
mother,NN
wealth,NN
such,JJ
threats,NNS
bit,NN
answer,NN
case,NN
whatever,WDT
fought,VBD
someone,PN
affordable,JJ
around,RB
resources,NNS
international,JJ
efforts,NNS
quality,NN
order,NN
agenda,NN
standing,VBG
voted,VBD
seek,VB
failed,VBN
risk,NN
facing,VBG
difficult,JJ
encourage,VB
mortgage,NN
exactly,RB
poverty,NN
woman,NN
sell,VB
safer,JJR
anyone,PN
roads,NNS
region,NN
expect,VB
mess,NN
third,OD
safe,JJ
increase,NN
ve,HV
share,NN
need,NN
paid,VBN
experience,NN
began,VBD
steps,NNS
trust,NN
called,VBN
require,VB
human,JJ
within,IN
al,NP
reforms,NNS
nation's,NN$
differences,NNS
eliminate,VB
achieve,VB
depression,NN
worker,NN
rebuilding,VBG
show,VB
word,NN
listen,VB
changes,NNS
they'll,PPSS
student,NN
less,QL
wouldn't,MD
known,VBN
put,VBN
cutting,VBG
250,CD
works,VBZ
goes,VBZ
philosophy,NN
beyond,IN
recession,NN
politicians,NNS
20,CD
secretary,NN
mission,NN
environment,NN
left,VBN
wanted,VBD
stood,VBD
iran,NP
open,VB
’,RN
billions,NNS
pay,NN
hand,NN
balanced,VBN
yesterday,NR
renewable,JJ
largest,JJT
re,RB
accountability,NN
republican,NP
level,NN
message,NN
control,NN
corporations,NNS
all,QL
least,AP
knows,VBZ
age,NN
deal,NN
built,VBN
later,RBR
500,CD
couple,NN
decide,VB
promised,VBD
used,VBN
character,NN
uniform,NN
remind,VB
tuition,NN
father,NN
happens,VBZ
30,CD
infrastructure,NN
available,JJ
retirement,NN
south,JJ
agree,VB
terrorist,JJ
process,NN
ability,NN
liberty,NN
hands,NNS
losing,VBG
prevent,VB
leader,NN
institutions,NNS
legislation,NN
–,VBZ
profits,NNS
wealthy,JJ
homeowners,NNS
republican,JJ
road,NN
equal,JJ
east,NR
walk,VB
morning,NN
decision,NN
led,VBD
september,NP
areas,NNS
outstanding,JJ
streets,NNS
